original	replacement
Ulamog 	Ulamog, 
Crptolith	Cryptolith
Elixer	Elixir
Heroe's Podium	Heroes' Podium
Unicor	Unicorn
Assault Suite	Assault Suit
Encamptment	Encampment
Shrie	Shrine
Terramorphic Expense	Terramorphic Expanse
Thespian 	Thespian's 
Uzra	Urza
Sheperd	Shepherd
Ioras	Iroas
Tag-Nar	Taj-Nar
Olivion	Oblivion
Bavery	Bravery
Consecrate Sphinx	Consecrated Sphinx
Humunculus	Homunculus
Dragon's Eye Savant	Dragon's Eye Savants
Experiment Aviator	Experimental Aviator
Cresent	Crescent
Arcae	Arcane
Call of the Kindred	Call to the Kindred
Day of the Dragon	Day of the Dragons
Invisbility	Invisibility
Allied Strategis	Allied Strategies
Cacking Counterpart	Cackling Counterpart
Careful Considerations	Careful Consideration
Excude	Exclude
Statue of Denial	Statute of Denial
Bascilica	Basilica
Blone	Bone
Conections	Connections
Drown in Sorrows	Drown in Sorrow
Altar'sreap	Altar's Reap
Annihiliate	Annihilate
Silence the Believer	Silence the Believers
Targic Slip	Tragic Slip
Hamlet Goliath	Hamletback Goliath
Hunting Sliver	Hunter Sliver
Labrynth	Labyrinth
Smelt-Warden	Smelt-Ward
Flurry of Horn	Flurry of Horns
Motars	Mortars
Rite to Ruin	Rite of Ruin
Rise of the Challenge	Rise to the Challenge
Tuskatongue	Tukatongue
Voyager Satyr	Voyaging Satyr
Whisper of the Wilds	Whisperer of the Wilds
Descreation	Desecration
Enlightment	Enlightenment
Ozhov	Orzhov
Slayer's Stronghold	Slayers' Stronghold
Heroe's	Heroes'
Tranquil Expense	Tranquil Expanse
Simlumgar	Silumgar
Stix	Strix
Phenix	Phenax
Lim-Dul	Lim-Dûl
Silmugar	Silumgar
Swalloer	Swallower
Treasure Find	Treasured Find
Kongming, "The Sleeping Dragon"	Kongming, "Sleeping Dragon"
Karametra, God of Harvest	Karametra, God of Harvests
Keid	Keld
Ordric	Odric
