card_name,nf_qty,f_qty,is_bulk
abattoir ghoul,NA,NA,TRUE
abbey griffin,NA,NA,TRUE
aberrant researcher,NA,NA,TRUE
abhorrent overlord,1,NA,NA
abomination of gudul,NA,NA,TRUE
absolute law,1,NA,NA
abstruse interference,4,NA,NA
abundance,1,NA,NA
abzan advantage,4,NA,NA
abzan ascendancy,2,NA,NA
abzan banner,5,NA,NA
abzan battle priest,2,NA,TRUE
abzan beastmaster,3,NA,NA
abzan charm,1,NA,NA
abzan falconer,NA,NA,TRUE
abzan guide,NA,NA,TRUE
abzan runemark,NA,NA,TRUE
abzan skycaptain,NA,NA,TRUE
academy raider,3,NA,NA
accelerated mutation,NA,NA,TRUE
accomplished automaton,0,NA,TRUE
accorder's shield,2,NA,NA
accumulated knowledge,4,NA,NA
accursed spirit,NA,NA,TRUE
acidic slime,2,NA,NA
acid-spewer dragon,1,NA,NA
acolyte of the inferno,NA,NA,TRUE
acolyte's reward,1,NA,NA
acquire,0,NA,NA
act of treason,4,NA,NA
act on impulse,2,NA,NA
adaptive snapjaw,3,NA,NA
advent of the wurm,1,NA,NA
adverse conditions,NA,NA,TRUE
advocate of the beast,4,NA,NA
aegis of the gods,2,NA,NA
aerial formation,1,NA,NA
aerial maneuver,NA,NA,TRUE
aerial predation,NA,NA,TRUE
aerial volley,NA,NA,TRUE
aerie bowmasters,NA,NA,TRUE
aerie worshippers,NA,NA,TRUE
aeronaut tinkerer,NA,NA,TRUE
aether adept,0,NA,NA
aether chaser,1,NA,NA
aether figment,3,NA,NA
aether gale,2,NA,NA
aether inspector,NA,NA,TRUE
aether poisoner,NA,NA,TRUE
aether swooper,1,NA,NA
aether theorist,1,NA,NA
aether tradewinds,1,1,NA
aetherflux reservoir,1,NA,NA
aetherize,1,NA,NA
aethermage's touch,1,NA,NA
aethersnipe,1,NA,NA
aetherspouts,0,NA,NA
affa protector,NA,NA,TRUE
afflicted deserter,2,NA,NA
ageless sentinels,NA,NA,TRUE
agent of erebos,4,NA,NA
agent of horizons,NA,NA,TRUE
agent of the fates,1,NA,NA
aggressive mining,1,NA,NA
agony warp,2,NA,NA
agoraphobia,NA,NA,TRUE
aim high,4,NA,NA
ainok artillerist,NA,NA,TRUE
ainok bond-kin,5,NA,NA
ainok guide,2,NA,NA
ainok survivalist,2,NA,NA
ainok tracker,NA,NA,TRUE
air elemental,NA,NA,TRUE
air servant,NA,NA,TRUE
airdrop aeronauts,NA,NA,TRUE
airdrop condor,1,NA,NA
"ajani, mentor of heroes",1,NA,NA
ajani's chosen,1,NA,NA
ajani's presence,1,NA,NA
ajani's pridemate,3,NA,NA
ajani's sunstriker,3,NA,NA
akoum flameseeker,NA,NA,TRUE
akoum refuge,3,NA,NA
akoum stonewaker,1,NA,NA
akroan conscriptor,4,NA,NA
akroan crusader,0,NA,NA
akroan hoplite,2,NA,NA
akroan jailer,NA,NA,TRUE
akroan line breaker,NA,NA,TRUE
akroan mastiff,NA,NA,TRUE
akroan phalanx,3,NA,NA
akroan sergeant,NA,NA,TRUE
akroan skyguard,0,NA,NA
akroma's blessing,1,NA,NA
akron legionnaire,NA,NA,TRUE
alabaster kirin,NA,NA,TRUE
alabaster potion,NA,NA,TRUE
alabaster wall,NA,NA,TRUE
aladdin,1,NA,NA
alchemist's apprentice,3,NA,NA
alchemist's vial,NA,NA,TRUE
alesha's vanguard,NA,NA,TRUE
algae gharial,1,NA,NA
"alhammarret, high arbiter",1,NA,NA
alhammarret's archive,2,NA,NA
aligned hedron network,2,NA,NA
alive // well,3,NA,NA
all suns' dawn,1,NA,NA
alley evasion,NA,NA,TRUE
allied reinforcements,0,NA,NA
allied strategies,1,NA,NA
ally encampment,1,NA,NA
alms beast,2,NA,NA
alms of the vein,5,NA,NA
alpha authority,4,NA,NA
alpha brawl,2,NA,NA
alpine grizzly,NA,NA,TRUE
altac bloodseeker,NA,NA,TRUE
altar of the brood,1,NA,NA
altar of the lost,4,NA,NA
altar's reap,6,NA,NA
altered ego,2,NA,NA
always watching,1,NA,NA
amass the components,2,NA,NA
ambuscade shaman,1,NA,NA
ambush krotiq,NA,NA,TRUE
amphin pathmage,NA,NA,TRUE
ampryn tactician,NA,NA,TRUE
amrou kithkin,NA,NA,TRUE
amulet of kroog,NA,NA,TRUE
amulet of vigor,0,NA,NA
anaba shaman,1,NA,NA
"anafenza, kin-tree spirit",NA,1,NA
anarchy,1,NA,NA
anax and cymede,2,NA,NA
ancestral mask,1,NA,NA
ancestral statue,NA,NA,TRUE
anchor to the aether,2,NA,NA
ancient carp,NA,NA,TRUE
ancient crab,NA,NA,TRUE
ancient silverback,NA,NA,TRUE
angel of deliverance,NA,1,NA
angel of glory's rise,NA,1,NA
angel of jubilation,1,NA,NA
angel of serenity,1,NA,NA
angel of serenity,1,NA,NA
angelic accord,2,NA,NA
angelic armaments,2,NA,NA
angelic benediction,1,NA,NA
angelic blessing,NA,NA,TRUE
angelic edict,3,NA,NA
angelic gift,4,NA,NA
angelic page,NA,NA,TRUE
angelic purge,0,NA,NA
angelic skirmisher,1,NA,NA
angelic wall,5,NA,NA
angel's mercy,NA,NA,TRUE
angel's tomb,NA,NA,TRUE
anger,1,NA,NA
animate dead,0,NA,NA
animate wall,1,NA,NA
animist's awakening,3,NA,NA
ankle shanker,2,NA,NA
annex,0,NA,NA
annihilate,1,NA,NA
annihilating fire,4,NA,NA
annul,6,NA,NA
anointer of champions,NA,NA,TRUE
ant queen,1,NA,NA
"anthousa, setessan hero",2,NA,NA
anticipate,1,0,NA
anurid barkripper,NA,NA,TRUE
anurid murkdiver,NA,NA,TRUE
anvilwrought raptor,NA,NA,TRUE
apex hawks,1,NA,NA
aphetto runecaster,1,NA,NA
apocalypse hydra,1,NA,NA
