card_name,nf_qty,is_bulk,set_name,rarity,price_m,price_l,f_qty,max_qty,proxy_qty,price_h,scrape_date,mana_cost,reprints
_____,,,Unhinged,U,$0.52 ,$0.28 ,,,,$1.68 ,59:08.8,1U,1
1996 World Champion,,,Special Occasion,P,,,,,,,56:26.7,WUBRG,1
A Display of My Dark Power (Archenemy),,,Oversize Cards,C,$2.74 ,,,,,,50:35.3,,1
A Reckoning Approaches (Archenemy: Nicol Bolas),,,Oversize Cards,C,,,,,,,50:35.3,,1
Abandon Hope,,,Tempest,U,$0.22 ,$0.10 ,,,,$1.00 ,57:24.7,X1B,1
Abandon Reason,,,Eldritch Moon,U,$0.20 ,$0.01 ,,,,$1.19 ,37:13.3,2R,1
Abandoned Outpost,,,Odyssey,C,$0.16 ,$0.05 ,,,,$1.14 ,50:04.2,,1
Abandoned Sarcophagus,,,Hour of Devastation,R,$0.98 ,$0.64 ,,,,$4.25 ,42:11.2,3,2
Abandoned Sarcophagus,,,Premium Deck Series: Fire and Lightning,R,,,,,,,52:31.4,3,2
Abattoir Ghoul,,,Innistrad,U,$0.15 ,$0.01 ,,,,$0.99 ,42:34.3,3B,2
Abattoir Ghoul,,,Duel Decks: Blessed vs. Cursed,U,$0.16 ,$0.04 ,,,,$1.13 ,34:15.0,3B,2
abattoir ghoul,,TRUE,unknown set,,,,,,,,,,
Abbey Gargoyles,,,Fifth Edition,U,$0.20 ,$0.09 ,,,,$1.18 ,38:31.6,2WWW,2
Abbey Gargoyles,,,Homelands,U,$0.21 ,$0.05 ,,,,$1.35 ,42:00.0,2WWW,2
Abbey Griffin,,TRUE,Innistrad,C,$0.14 ,$0.01 ,,,,$1.14 ,42:34.3,3W,1
Abbey Matron,,,Homelands,C,$0.18 ,$0.05 ,,,,$1.35 ,42:00.0,2W,1
Abbey Matron (Version 2),,,Homelands,C,$0.40 ,$0.32 ,,,,$1.00 ,42:00.0,2W,1
Abbot of Keral Keep,,,Magic Origins,R,$1.19 ,$0.64 ,,,,$9.99 ,46:24.9,1R,2
Abbot of Keral Keep,,,Prerelease Cards,R,$4.39 ,$2.26 ,,,,$27.99 ,53:03.9,1R,2
Abduction,,,Weatherlight,U,$0.31 ,$0.16 ,,,,$1.28 ,00:53.2,2UU,2
Abduction,,,Classic Sixth Edition,U,$0.35 ,$0.24 ,,,,$1.31 ,27:22.3,2UU,2
Aberrant Researcher,,TRUE,Shadows over Innistrad,U,$0.21 ,$0.03 ,,,,$2.23 ,55:56.6,3U,1
Abeyance,,,Weatherlight,R,$2.56 ,$1.96 ,,,,$12.99 ,00:53.2,1W,1
Abeyance (Oversized),,,Oversize Cards,P,,,,,,,50:35.3,1W,1
Abhorrent Overlord,1,,Theros,R,$0.27 ,$0.10 ,,,,$1.24 ,57:50.1,5BB,2
Abhorrent Overlord,,,Prerelease Cards,P,$0.42 ,$0.14 ,,,,$1.50 ,53:03.9,5BB,2
Abjure,,,Weatherlight,C,$0.20 ,$0.05 ,,,,$4.00 ,00:53.2,U,1
Abolish,,,Prophecy,U,$0.26 ,$0.15 ,,,,$1.00 ,53:33.2,1WW,2
Abolish,,,Duel Decks: Elspeth vs. Tezzeret,U,$0.25 ,$0.10 ,,,,$1.24 ,34:41.4,1WW,2
Abomination,,,Legends,U,$0.44 ,$0.28 ,,,,$2.38 ,44:24.3,3BB,4
Abomination,,,Fourth Edition,U,$0.19 ,$0.07 ,,,,$2.50 ,38:54.1,3BB,4
Abomination of Gudul,,TRUE,Khans of Tarkir,C,$0.14 ,$0.01 ,,,,$1.14 ,44:03.2,3BGU,1
Aboroth,,,Weatherlight,R,$0.45 ,$0.25 ,,,,$3.36 ,00:53.2,4GG,1
"Aboshan, Cephalid Emperor",,,Odyssey,R,$0.39 ,$0.15 ,,,,$1.37 ,50:04.2,4UU,1
Aboshan's Desire,,,Odyssey,C,$0.17 ,$0.05 ,,,,$1.15 ,50:04.2,U,1
About Face,,,Urza's Legacy,C,$0.16 ,$0.05 ,,,,$0.95 ,00:05.5,R,1
Abrade,,,Hour of Devastation,U,$0.56 ,$0.34 ,,,,$0.94 ,42:11.2,1R,1
Abrupt Decay,,,Modern Masters 2017,R,$4.55 ,$3.25 ,,,,$6.46 ,48:58.4,BG,3
Abrupt Decay,,,Return to Ravnica,R,$5.31 ,$2.85 ,,,,$13.26 ,53:58.3,BG,3
Abrupt Decay,,,WMCQ Promo Cards,P,$40.35 ,$38.01 ,,,,$70.00 ,01:28.7,BG,3
Absolute Grace,,,Urza's Saga,U,$0.37 ,$0.19 ,,,,$1.24 ,00:16.8,1W,1
Absolute Law,1,,Urza's Saga,U,$0.45 ,$0.19 ,,,,$1.25 ,00:16.8,1W,1
Absolver Thrull,,,Guildpact,C,$0.15 ,$0.05 ,,,,$1.15 ,41:30.7,3W,1
Absorb,,,Invasion,R,$2.92 ,$1.93 ,,,,$4.70 ,42:58.3,WUU,1
Absorb Vis,,,Duel Decks: Sorin vs. Tibalt,C,$0.14 ,$0.05 ,,,,$1.13 ,36:20.8,6B,4
Absorb Vis,,,Modern Masters,C,$0.15 ,$0.03 ,,,,$1.14 ,48:33.1,6B,4
Absorb Vis,,,Conflux,C,$0.15 ,$0.02 ,,,,$1.15 ,30:02.2,6B,4
Absorb Vis,,,Conspiracy: Take the Crown,C,$0.15 ,$0.01 ,,,,$1.16 ,30:20.9,6B,4
