card_name,qty,is_bulk,tcg_set_name,tcg_h,tcg_m,tcg_l,tcg_date
abattoir ghoul,,TRUE,,,,,
abbey griffin,,TRUE,,,,,
aberrant researcher,,TRUE,,,,,
abhorrent overlord,1,,,,,,
abomination of gudul,,TRUE,,,,,
absolute law,1,,,,,,
abstruse interference,4,,,,,,
abundance,1,,,,,,
abzan advantage,4,,,,,,
abzan ascendancy,2,,,,,,
abzan banner,5,,,,,,
abzan battle priest,2,,,,,,
abzan battle priest,,TRUE,,,,,
abzan beastmaster,3,,,,,,
abzan charm,1,,,,,,
abzan falconer,,TRUE,,,,,
abzan guide,,TRUE,,,,,
abzan runemark,,TRUE,,,,,
abzan skycaptain,,TRUE,,,,,
academy raider,3,,,,,,
accelerated mutation,,TRUE,,,,,
accomplished automation,0,,,,,,
accomplished automation,,TRUE,,,,,
accomplished automaton,,TRUE,,,,,
accorder's shield,2,,,,,,
accumulated knowledge,4,,,,,,
accursed spirit,,TRUE,,,,,
acid-spewer dragon,1,,,,,,
acidic slime,2,,,,,,
acient silverback,,TRUE,,,,,
acolyte's reward,1,,,,,,
acolyte of the inferno,,TRUE,,,,,
acquire,0,,,,,,
act of treason,4,,,,,,
act on impulse,2,,,,,,
adaptive snapjaw,3,,,,,,
advent of the wurm,1,,,,,,
adverse conditions,,TRUE,Battle for Zendikar,$1.32 ,$0.19 ,$0.01 ,7/7/2017 10:26
advocate of the beast,4,,,,,,
aegis of the gods,2,,,,,,
aerial formation,1,,,,,,
aerial maneuver,,TRUE,,,,,
aerial predation,,TRUE,,,,,
aerial volley,,TRUE,,,,,
aerie bowmasters,,TRUE,,,,,
aerie worshippers,,TRUE,,,,,
aeronaut tinkerer,,TRUE,,,,,
aether adept,0,,,,,,
aether chaser,1,,,,,,
aether figment,3,,,,,,
aether gale,2,,,,,,
aether inspector,,TRUE,,,,,
aether poisoner,,TRUE,,,,,
aether swooper,1,,,,,,
aether theorist,1,,,,,,
aether tradewinds,1,,,,,,
aether tradewinds (f),1,,,,,,
aetherflux reservoir,1,,,,,,
aetherize,1,,,,,,
aethermage's touch,1,,,,,,
aethersnipe,1,,,,,,
aetherspouts,0,,,,,,
affa protector,,TRUE,,,,,
afflicted deserter,2,,,,,,
ageless sentinels,,TRUE,,,,,
agent of erebos,4,,,,,,
agent of horizons,,TRUE,,,,,
agent of the fates,1,,,,,,
aggressive mining,1,,,,,,
agony warp,2,,,,,,
agoraphobia,,TRUE,,,,,
aim high,4,,,,,,
ainok artillerist,,TRUE,,,,,
ainok bond-kin,5,,,,,,
ainok guide,2,,,,,,
ainok survivalist,2,,,,,,
ainok tracker,,TRUE,,,,,
air elemental,,TRUE,,,,,
air servant,,TRUE,,,,,
airdrop aeronauts,,TRUE,,,,,
airdrop condor,1,,,,,,
ajani's chosen,1,,,,,,
ajani's presence,1,,,,,,
ajani's pridemate,3,,,,,,
ajani's sunstriker,3,,,,,,
"ajani, mentor of heroes",1,,,,,,
akoum firebird,,,Battle for Zendikar,$4.99 ,$0.55 ,$0.10 ,7/7/2017 10:26
akoum flameseeker,,TRUE,,,,,
akoum hellkite,,,Battle for Zendikar,$1.60 ,$0.29 ,$0.09 ,7/7/2017 10:26
akoum refuge,3,,,,,,
akoum stonewaker,1,,Battle for Zendikar,$1.19 ,$0.19 ,$0.01 ,7/7/2017 10:26
akroan conscriptor,4,,,,,,
akroan crusader,0,,,,,,
akroan hoplite,2,,,,,,
akroan jailer,,TRUE,,,,,
akroan line breaker,,TRUE,,,,,
akroan mastiff,,TRUE,,,,,
akroan phalanx,3,,,,,,
akroan sergeant,,TRUE,,,,,
akroan skyguard,0,,,,,,
akroma's blessing,1,,,,,,
akron legionnaire,,TRUE,,,,,
alabaster kirin,,TRUE,,,,,
alabaster potion,,TRUE,,,,,
alabaster wall,,TRUE,,,,,
aladdin,1,,,,,,
alchemist's apprentice,3,,,,,,
alchemist's vial,,TRUE,,,,,
alesha's vanguard,,TRUE,,,,,
algae gharial,1,,,,,,
alhammarret's archive,2,,,,,,
"alhammarret, high arbiter",1,,,,,,
aligned hedron network,2,,Battle for Zendikar,$1.60 ,$0.33 ,$0.09 ,7/7/2017 10:26
alive // well,3,,,,,,
all suns' dawn,1,,,,,,
alley evasion,,TRUE,,,,,
allied reinforcements,0,,,,,,
allied strategis,1,,,,,,
ally encampment,,,Battle for Zendikar,$3.00 ,$0.46 ,$0.09 ,7/7/2017 10:26
ally encamptment,1,,,,,,
alms beast,2,,,,,,
alms of the vein,5,,,,,,
