card_name	in_decks	price	bulk	
Hyena Pack	0	$0.25 		
Colossapede	1	$0.25 	bulk	
Decision Paralysis	2	$0.25 		
Manticore of the Gauntlet	2	$0.25 	bulk	
Thresher Lizard	2	$0.25 		
Dispossess	2	$0.39 		
Supply Caravan	3	$0.25 		
Pursue Glory	3	$0.25 	bulk	
Dune Beetle	3	$0.25 		
Seeker of Insight	4	$0.25 		
Graceful Cat	4	$0.25 		
Companion of the Trials	4	$0.25 		
Rhet-Crop Spearmaster	5	$0.25 		
Pouncing Cheetah	5	$0.25 		
Pathmaker Initiate	5	$0.25 	bulk	
Galestrike	5	$0.25 		
Hooded Brawler	5	$0.25 	bulk	
Grim Strider	5	$0.25 	bulk	
Hekma Sentinels	5	$0.25 		
Zenith Seeker	5	$0.25 		
Those Who Serve	5	$0.25 		
Tah-Crop Skirmisher	5	$0.25 	bulk	
Reduce // Rubble	5	$0.25 	bulk	
Illusory Wrappings	5	$0.25 	bulk	
"Neheb, the Worthy"	6	$0.25 		
Nimble-Blade Khenra	6	$0.25 	bulk	
Labyrinth Guardian	6	$0.25 		
Desiccated Naga	6	$0.25 		
Trial of Zeal	6	$0.25 		
Naga Oracle	6	$0.25 	bulk	
Electrify	7	$0.25 	bulk	
Trial of Strength	7	$0.25 	fringe	1
Nef-Crop Entangler	7	$0.25 		
Initiate's Companion	8	$0.25 		
Aven Initiate	8	$0.25 	bulk	
Blazing Volley	8	$0.25 		
Synchronized Strike	8	$0.25 		
Shadowstorm Vizier	8	$0.25 		
Gust Walker	8	$0.25 		
Sparring Mummy	9	$0.25 	bulk	
Honed Khopesh	9	$0.25 		
Scaled Behemoth	9	$0.25 		
Watchful Naga	10	$0.25 	edh	1
Warfire Javelineer	10	$0.25 	fringe	2
Floodwaters	11	$0.25 	bulk	
Cryptic Serpent	11	$0.25 	bulk	
Compulsory Rest	11	$0.25 		
Bitterblade Warrior	11	$0.25 	bulk	
Flameblade Adept	12	$0.25 		
Consuming Fervor	12	$0.25 		
Angler Drake	12	$0.25 		
Deem Worthy	13	$0.25 	bulk	
Gate to the Afterlife	13	$0.25 		
Fan Bearer	13	$0.25 		
Trueheart Twins	13	$0.25 	bulk	
Battlefield Scavenger	14	$0.25 		
Trial of Solidarity	14	$0.25 		
Shed Weakness	14	$0.25 	bulk	
Oashra Cultivator	15	$0.25 	bulk	
Lay Bare the Heart	15	$0.25 		
Prepare // Fight	15	$0.25 		
In Oketra's Name	16	$0.25 	bulk	
Protection of the Hekma	16		bulk	
Tattered Mummy	17			
Seraph of the Suns	18	$0.25 		
Unwavering Initiate	18	$0.25 	bulk	
Time to Reflect	18	$0.25 	bulk	
Ornery Kudu	18	$0.25 	bulk	
Ancient Crab	18	$0.25 	bulk	
Pitiless Vizier	19	$0.25 		
Destined // Lead	20	$0.25 	bulk	
Shimmerscale Drake	20	$0.25 		
Winged Shepherd	20	$0.25 	bulk	
River Serpent	20	$0.25 	bulk	
Luxa River Shrine	20	$0.25 		
Winds of Rebuke	21	$0.25 		
Trial of Ambition	21	$0.25 		
Djeru's Resolve	22	$0.25 	bulk	
Benefaction of Rhonas	22	$0.25 	fringe	1
Compelling Argument	23	$0.25 		
Miasmic Mummy	23	$0.25 	fringe	
"Temmet, Vizier of Naktamun"	23	$0.25 		
Gideon's Resolve	23	$0.25 		
Desert Cerodon	24	$0.25 	bulk	
Vizier of Deferment	24	$0.25 		
Minotaur Sureshot	24	$0.25 	bulk	
Blighted Bat	24	$0.25 	bulk	
Violent Impact	24	$0.25 	fringe	
Glory-Bound Initiate	24	$1.29 		
Hazoret's Favor	24	$0.25 		
Impeccable Timing	24	$0.25 		
Devoted Crop-Mate	25	$0.25 		
Binding Mummy	25	$0.25 	bulk	
Trueheart Duelist	25	$0.25 		
Start // Finish	25	$0.25 		
Wasteland Scorpion	25	$0.25 	fringe	
Tah-Crop Elite	25	$0.25 		
Hapatra's Mark	25	$0.25 		
Scribe of the Mindful	25	$0.25 		
Ruthless Sniper	26	$0.25 		
Failure // Comply	27	$0.25 		
Limits of Solidarity	28	$0.25 		
Bone Picker	28	$0.49 		
Emberhorn Minotaur	28	$0.25 	fringe	
Sacred Excavation	29	$0.25 		
Onward // Victory	29	$0.25 		
Sixth Sense	29	$0.25 		
Rags // Riches	31	$0.25 		
Edifice of Authority	31	$0.25 		
Oketra the True	32	$2.49 		
Bontu the Glorified	33	$5.99 	edh	
Final Reward	33	$0.25 	fringe	2
Rhonas the Indomitable	34	$13.99 		
Heaven // Earth	34	$0.25 		
Doomed Dissenter	34	$0.25 		2
Cartouche of Zeal	35	$0.25 	bulk	
Quarry Hauler	35	$0.25 	edh	2
Supernatural Stamina	35	$0.25 	bulk	
Ahn-Crop Champion	36	$0.25 		
Painful Lesson	38	$0.25 	fringe	1
Gift of Paradise	39	$0.25 		
Cartouche of Solidarity	40	$0.25 		
Stinging Shot	40	$0.25 	fringe	2
Exemplar of Strength	40	$0.25 		
Bloodlust Inciter	41	$0.25 	bulk	
Baleful Ammit	41	$0.25 		
Wayward Servant	41	$0.29 		
Cartouche of Knowledge	41	$0.25 		
Soul-Scar Mage	41	$1.49 		
Haze of Pollen	41	$0.25 		
Dissenter's Deliverance	41	$0.25 		
Greater Sandwurm	43	$0.25 		
Scarab Feast	43	$0.25 		
Enigma Drake	44	$0.25 		
Stir the Sands	46	$0.25 		
Watchers of the Dead	46	$0.25 		
Hazoret the Fervent	47	$7.49 		
Glyph Keeper	50	$0.25 		
Honored Crop-Captain	51	$0.25 	fringe	1
Horror of the Broken Lands	51	$0.25 	bulk	
Kefnet the Mindful	53	$4.49 		
Spring // Mind	53	$0.25 		
Oketra's Attendant	54	$0.25 		
Trial of Knowledge	54	$0.25 		
Crocodile of the Crossing	55	$0.25 		
Cursed Minotaur	55	$0.25 	tribe	2
Merciless Javelineer	55	$0.25 		
Embalmer's Tools	56	$0.25 	edh sidisi	1
Vizier of Remedies	57	$0.25 		1
Sacred Cat	58	$0.25 		
Ahn-Crop Crasher	59	$0.25 		
Cartouche of Ambition	59	$0.25 		
Festering Mummy	59	$0.25 	fringe	1
				1
Sweltering Suns	59	$4.99 		
Mouth // Feed	61	$0.25 		
Heart-Piercer Manticore	62	$0.25 		
Hieroglyphic Illumination	62	$0.25 		
Naga Vitalist	65	$0.25 		
"Gideon, Martial Paragon"	65	$6.99 		
Gideon's Intervention	65	$0.25 		
Glorious End	65	$1.29 		
Cartouche of Strength	66	$0.25 		
Dread Wanderer	67	$4.49 		
Spidery Grasp	67	$0.25 		
Kefnet's Monument	68	$0.25 		
Bloodrage Brawler	69	$0.49 		
Gideon of the Trials	70	$11.99 		
Trespasser's Curse	70	$0.25 	fringe	2
Unburden	70	$0.25 	fringe	1
Cut // Ribbons	71	$0.99 		
Soulstinger	71	$0.25 	fringe	1
"Hapatra, Vizier of Poisons"	71	$0.99 		
Wander in Death	74	$0.25 		
Honored Hydra	74	$0.29 		
Renewed Faith	74	$0.25 		
Weaver of Currents	78	$0.25 		
"Temmet, Vizier of Naktamun"	79	$0.25 		
Defiant Greatmaw	79	$0.25 	fringe	1
Slither Blade	81	$0.25 	fringe	1
Cradle of the Accursed	82	$0.25 	fringe	2
Open into Wonder	83	$0.25 		
New Perspectives	83	$0.79 		
Shefet Monitor	84	$0.25 		
Khenra Charioteer	87	$0.25 		
Cruel Reality	87	$0.59 		
Faith of the Devoted	90	$0.25 		
Lay Claim	90	$0.25 		
Aven Wind Guide	95	$0.25 		
Painted Bluffs	97	$0.25 	edh	1
"Samut, Voice of Dissent"	100	$1.49 		
Sunscorched Desert	101	$0.25 		
Shadow of the Grave	108	$0.99 		
Liliana's Influence	109	$0.25 		
"Neheb, the Worthy"	111	$0.25 		
Hazoret the Fervent	111	$7.49 		
By Force	112	$0.25 	edh	1
Curator of Mysteries	113	$0.69 		
Drake Haven	114	$1.29 		
Hazoret's Monument	114	$0.25 		
Regal Caracal	114	$0.59 		
Glorybringer	116	$3.99 		
Anointer Priest	117	$0.25 	edh	1
Splendid Agony	126	$0.25 		
Mighty Leap	126	$0.25 	fringe	2
"Liliana, Death Wielder"	130	$6.99 		
Never // Return	133	$1.99 		
Grasping Dunes	141	$0.25 		
Insult // Injury	143	$0.39 		
Vizier of Tumbling Sands	143	$0.25 	edh	
Giant Spider	156	$0.20 	fringe	2
Decimator Beetle	164	$0.25 		
Kefnet the Mindful	170	$4.49 		
Angel of Sanctions	175	$2.99 		
Approach of the Second Sun	176	$0.69 		
"Samut, Voice of Dissent"	178	$1.49 		
Liliana's Mastery	188	$2.49 		
Rhonas's Monument	190	$0.25 		
Forsake the Worldly	190	$0.25 	edh	1
Magma Spray	191	$0.25 	edh	1
Bounty of the Luxa	197	$0.35 		
Commit // Memory	217	$1.49 		
Oketra the True	222	$2.49 		1
Bontu's Monument	226	$0.25 		1
Champion of Rhonas	228	$0.59 		
Bontu the Glorified	230	$5.99 		
Plague Belcher	230	$1.99 		
Dusk // Dawn	251	$0.49 	edh	1
Rhonas the Indomitable	256	$13.99 		
Pyramid of the Pantheon	260	$0.39 		
Harsh Mentor	261	$1.79 		
Sandwurm Convergence	267	$0.25 		
Vizier of Many Faces	268	$0.29 		
Oracle's Vault	272	$0.25 		
Oketra's Monument (f)	275	$0.85 	edh	1
Oketra's Monument	275	$0.25 	edh	1
"Hapatra, Vizier of Poisons"	281	$0.99 		
Channeler Initiate	284	$1.49 		
Combat Celebrant	287	$3.49 		
Archfiend of Ifnir	299	$0.99 		
Nest of Scarabs	315	$0.25 	edh	1
Lord of the Accursed	316	$1.49 		
Harvest Season	321	$0.69 		
Throne of the God-Pharaoh	322	$0.49 		
Pull from Tomorrow	324	$3.49 		
