card_name,mana_cost,set_name,rarity,price_h,price_m,price_l,scrape_date,reprints
"Azusa, Lost but Seeking (p)",2G,Custom Proxies,,,,,,
"Urborg, Tomb of Yawgmoth (p)",,Custom Proxies,,,,,,
_____,1U,Unhinged,U,$1.68 ,$0.52 ,$0.28 ,59:08.8,1
1996 World Champion,WUBRG,Special Occasion,P,,,,56:26.7,1
A Display of My Dark Power (Archenemy),,Oversize Cards,C,,$2.74 ,,50:35.3,1
A Reckoning Approaches (Archenemy: Nicol Bolas),,Oversize Cards,C,,,,50:35.3,1
Abandon Hope,X1B,Tempest,U,$1.00 ,$0.22 ,$0.10 ,57:24.7,1
Abandon Reason,2R,Eldritch Moon,U,$1.19 ,$0.20 ,$0.01 ,37:13.3,1
Abandoned Outpost,,Odyssey,C,$1.14 ,$0.16 ,$0.05 ,50:04.2,1
Abandoned Sarcophagus,3,Hour of Devastation,R,$4.25 ,$0.98 ,$0.64 ,42:11.2,2
Abandoned Sarcophagus,3,Premium Deck Series: Fire and Lightning,R,,,,52:31.4,2
Abattoir Ghoul,3B,Duel Decks: Blessed vs. Cursed,U,$1.13 ,$0.16 ,$0.04 ,34:15.0,2
Abattoir Ghoul,3B,Innistrad,U,$0.99 ,$0.15 ,$0.01 ,42:34.3,2
Abbey Gargoyles,2WWW,Fifth Edition,U,$1.18 ,$0.20 ,$0.09 ,38:31.6,2
Abbey Gargoyles,2WWW,Homelands,U,$1.35 ,$0.21 ,$0.05 ,42:00.0,2
Abbey Griffin,3W,Innistrad,C,$1.14 ,$0.14 ,$0.01 ,42:34.3,1
Abbey Matron,2W,Homelands,C,$1.35 ,$0.18 ,$0.05 ,42:00.0,1
Abbey Matron (Version 2),2W,Homelands,C,$1.00 ,$0.40 ,$0.32 ,42:00.0,1
Abbot of Keral Keep,1R,Magic Origins,R,$9.99 ,$1.19 ,$0.64 ,46:24.9,2
Abbot of Keral Keep,1R,Prerelease Cards,R,$27.99 ,$4.39 ,$2.26 ,53:03.9,2
Abduction,2UU,Classic Sixth Edition,U,$1.31 ,$0.35 ,$0.24 ,27:22.3,2
Abduction,2UU,Weatherlight,U,$1.28 ,$0.31 ,$0.16 ,00:53.2,2
Aberrant Researcher,3U,Shadows over Innistrad,U,$2.23 ,$0.21 ,$0.03 ,55:56.6,1
Abeyance,1W,Weatherlight,R,$12.99 ,$2.56 ,$1.96 ,00:53.2,1
Abeyance (Oversized),1W,Oversize Cards,P,,,,50:35.3,1
